path,method,operation_id,status_code,description,content_type,schema_ref,schema_type
/api/data-group/versions,post,GetDataGroups,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group/versions,post,GetDataGroups,401,User is not authorized to perform this request,application/json,,
/api/data-group/versions,post,GetDataGroups,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group/versions,post,GetDataGroups,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group/versions,post,GetDataGroups,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/requirement-set,get,GetAllRequirementSets,200,Success. List of requirement sets data is returned,application/json,#/components/schemas/RequirementSetDtoIEnumerableServiceResponse,object
/api/requirement-set,get,GetAllRequirementSets,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/requirement-set,get,GetAllRequirementSets,401,User is not authorized to perform this request,application/json,,
/api/requirement-set,get,GetAllRequirementSets,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set,get,GetAllRequirementSets,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set,get,GetAllRequirementSets,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/requirement-set/{setId},get,GetRequirementSetById,200,Success. Requirement set is returned,application/json,#/components/schemas/RequirementSetVersionDtoServiceResponse,object
/api/requirement-set/{setId},get,GetRequirementSetById,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/requirement-set/{setId},get,GetRequirementSetById,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId},get,GetRequirementSetById,401,User is not authorized to perform this request,application/json,,
/api/requirement-set/{setId},get,GetRequirementSetById,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId},get,GetRequirementSetById,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId},get,GetRequirementSetById,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber},get,GetRequirementSetVersionById,200,Success. Requirement set is returned,application/json,#/components/schemas/RequirementSetVersionDtoServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber},get,GetRequirementSetVersionById,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber},get,GetRequirementSetVersionById,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber},get,GetRequirementSetVersionById,401,User is not authorized to perform this request,application/json,,
/api/requirement-set/{setId}/version/{versionNumber},get,GetRequirementSetVersionById,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber},get,GetRequirementSetVersionById,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber},get,GetRequirementSetVersionById,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetRequirementById,200,Success. Requirement is returned,application/json,#/components/schemas/RequirementDtoServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetRequirementById,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetRequirementById,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetRequirementById,401,User is not authorized to perform this request,application/json,,
/api/requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetRequirementById,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetRequirementById,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetRequirementById,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/requirement-set/jurisdictions,get,GetJurisdictions,200,Success. List of available jurisdictions is returned,application/json,#/components/schemas/RequirementSetJurisdictionDtoServiceResponse,object
/api/requirement-set/jurisdictions,get,GetJurisdictions,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/requirement-set/jurisdictions,get,GetJurisdictions,401,User is not authorized to perform this request,application/json,,
/api/requirement-set/jurisdictions,get,GetJurisdictions,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/jurisdictions,get,GetJurisdictions,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirement-set/jurisdictions,get,GetJurisdictions,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/requirements-in-scope,post,GetRequirementsInScope,200,Success. List of requirements is returned,application/json,#/components/schemas/RequirementDtoListServiceResponse,object
/api/requirements-in-scope,post,GetRequirementsInScope,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/requirements-in-scope,post,GetRequirementsInScope,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirements-in-scope,post,GetRequirementsInScope,401,User is not authorized to perform this request,application/json,,
/api/requirements-in-scope,post,GetRequirementsInScope,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirements-in-scope,post,GetRequirementsInScope,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirements-in-scope,post,GetRequirementsInScope,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/requirements-in-scope/jurisdiction/{jurisdiction},get,GetActiveSetVersionByJurisdiction,200,Success. Requirement version is returned,application/json,#/components/schemas/ActiveSetVersionResponseDtoServiceResponse,object
/api/requirements-in-scope/jurisdiction/{jurisdiction},get,GetActiveSetVersionByJurisdiction,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/requirements-in-scope/jurisdiction/{jurisdiction},get,GetActiveSetVersionByJurisdiction,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirements-in-scope/jurisdiction/{jurisdiction},get,GetActiveSetVersionByJurisdiction,401,User is not authorized to perform this request,application/json,,
/api/requirements-in-scope/jurisdiction/{jurisdiction},get,GetActiveSetVersionByJurisdiction,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirements-in-scope/jurisdiction/{jurisdiction},get,GetActiveSetVersionByJurisdiction,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/requirements-in-scope/jurisdiction/{jurisdiction},get,GetActiveSetVersionByJurisdiction,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/tag/requirements,get,GetRequirementsByTags,200,Success. List of requirements is returned,application/json,#/components/schemas/RequirementDtoListServiceResponse,object
/api/tag/requirements,get,GetRequirementsByTags,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/tag/requirements,get,GetRequirementsByTags,401,User is not authorized to perform this request,application/json,,
/api/tag/requirements,get,GetRequirementsByTags,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/tag/requirements,get,GetRequirementsByTags,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/tag/requirements,get,GetRequirementsByTags,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/tag,get,GetTagsByTenant,200,Success. List of tags is returned,application/json,#/components/schemas/StringListServiceResponse,object
/api/tag,get,GetTagsByTenant,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/tag,get,GetTagsByTenant,401,User is not authorized to perform this request,application/json,,
/api/tag,get,GetTagsByTenant,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/tag,get,GetTagsByTenant,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/tag,get,GetTagsByTenant,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/tag/requirement-set/{setId},get,GetTagsByRequirementSetId,200,Success. List of tags is returned,application/json,#/components/schemas/StringListServiceResponse,object
/api/tag/requirement-set/{setId},get,GetTagsByRequirementSetId,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/tag/requirement-set/{setId},get,GetTagsByRequirementSetId,401,User is not authorized to perform this request,application/json,,
/api/tag/requirement-set/{setId},get,GetTagsByRequirementSetId,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/tag/requirement-set/{setId},get,GetTagsByRequirementSetId,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/tag/requirement-set/{setId},get,GetTagsByRequirementSetId,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/validation-rule/validation-rules,post,GetValidationRules,200,Success. The list of validation data is returned,application/json,#/components/schemas/ValidationRuleListServiceResponse,object
/api/validation-rule/validation-rules,post,GetValidationRules,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/validation-rule/validation-rules,post,GetValidationRules,401,User is not authorized to perform this request,application/json,,
/api/validation-rule/validation-rules,post,GetValidationRules,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/validation-rule/validation-rules,post,GetValidationRules,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/validation-rule/validation-rules,post,GetValidationRules,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
