source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,name,in,required,type,description
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set,post,CreateProductRequirementSet,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},post,CreateProductRequirementSetVersion,setId,path,True,string,Product requirement set id
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},post,CreateProductRequirementSetVersion,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},delete,DeleteProductRequirementSet,setId,path,True,string,Product requirement set id
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},delete,DeleteProductRequirementSet,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/draft,post,CreateProductRequirementSetVersionFromSetId,setId,path,True,string,Product requirement set id
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/draft,post,CreateProductRequirementSetVersionFromSetId,versionNumber,path,True,integer,Version number to create new draft from
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/draft,post,CreateProductRequirementSetVersionFromSetId,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},put,UpdateProductRequirementSetVersion,setId,path,True,string,Product requirement set id
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},put,UpdateProductRequirementSetVersion,versionNumber,path,True,integer,Version number to update
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},put,UpdateProductRequirementSetVersion,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},delete,DeleteProductRequirementSetVersion,setId,path,True,string,Product requirement set id
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},delete,DeleteProductRequirementSetVersion,versionNumber,path,True,integer,Version number to delete
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},delete,DeleteProductRequirementSetVersion,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
